
JPMC #628
=====================
Date	Event
1/1/1824	Institution established: Original name:Chemical Bank & Trust Company (628)
1/18/1975	Acquired Security National Bank (7113) in HEMPSTEAD, NY
11/10/1975	Acquired Chemical Bank of Suffolk, National Association (17544) in SMITHTOWN, NY
4/1/1977	Acquired Chemical Bank Hudson Valley, National Association (17430) in NYACK, NY
10/1/1978	Acquired Chemical Bank of Binghamton (21935) in BINGHAMTON, NY
10/1/1978	Acquired Chemical Bank-Buffalo (21298) in BUFFALO, NY
10/1/1978	Acquired Chemical Bank - Eastern, National Association (7084) in GREENWICH, NY
10/1/1978	Acquired Chemical Bank of Rochester (9408) in HILTON, NY
10/1/1978	Acquired Chemical Bank of Syracuse (21391) in SYRACUSE, NY
7/19/1991	Acquired Ensign Federal Savings Bank (33159) in NEW YORK CITY, NY
11/8/1991	Acquired Community National Bank and Trust Company of New York (19519) in NEW YORK CITY, NY
3/7/1992	Acquired Chemical Bank Delaware (24024) in WILMINGTON, DE
3/13/1992	Acquired Central Federal Savings Bank (33277) in MINEOLA, NY
6/20/1992	Acquired Manufacturers Hanover Trust Company (641) in NEW YORK CITY, NY
7/1/1993	Acquired Texas Commerce Banks (26825) in NEWARK, DE
7/14/1996	Acquired The Chase Manhattan Bank (National Association) (624) in NEW YORK CITY, NY
12/1/1996	Acquired The Chase Manhattan Bank, National Association (23686) in MORRISTOWN, NJ
10/1/1998	Acquired Morgan Stanley Trust Company (27272) in NEW YORK CITY, NY
3/5/1999	Acquired Texas Commerce Trust Company of New York (91273) in NEW YORK CITY, NY
8/1/2000	Acquired Chase Bank of Texas, National Association (3263) in HOUSTON, TX
8/1/2001	Acquired Chase Bank of Texas-San Angelo, National Association (5508) in SAN ANGELO, TX
11/10/2001	Acquired Morgan Guaranty Trust Company of New York (637) in NEW YORK CITY, NY
11/13/2004	Acquired Bank One, National Association (6559) in COLUMBUS, OH
11/13/2004	Acquired Bank One, National Association (3618) in CHICAGO, IL
10/20/2006	Acquired Bank One Trust Company, National Association (21377) in COLUMBUS, OH
8/16/2008	Acquired J. P. Morgan Trust Company, National Association (34696) in LOS ANGELES, CA
9/25/2008	Acquired Washington Mutual Bank (32633) in HENDERSON, NV as part of a government assisted transaction.
9/25/2008	Acquired Washington Mutual Bank FSB (33891) in PARK CITY, UT

10/14/2011	Acquired Custodial Trust Company (25809) in JERSEY CITY, NJ
8/31/2015	Acquired JPMorgan Bank and Trust Company, National Association (58729) in SAN FRANCISCO, CA

BAC  #3510
=====================
